Date,Saved At,Score,20D Signal,20D Favors Value,20D Favors AI,20D Expected Rel,20D Matched Obs,60D Signal,60D Favors Value,60D Favors AI,60D Expected Rel,60D Matched Obs,20D Agreement,60D Agreement,QQQ 5D Direction,QQQ 20D Direction
2026-06-30,2026-06-30T21:50:07,5.0,20D VALUE ROTATION WATCH,0.5378151260504201,0.4621848739495798,-0.0046514421304083,119.0,ROTATION EXTENDED / AI REASSERTION RISK,0.3694267515923566,0.6305732484076434,-0.0317677615417902,157.0,VALUE AGREEMENT,MIXED,QQQ UP AGREEMENT,MIXED
2026-07-01,2026-07-01T23:52:08,3.0,20D EARLY ROTATION,0.5387596899224806,0.4612403100775194,0.0004131616826491,258.0,NO 60D EDGE,0.46875,0.53125,-0.0029039986866029,256.0,VALUE AGREEMENT,MIXED,QQQ UP AGREEMENT,MIXED
2026-07-02,2026-07-02T23:37:28,3.0,20D EARLY ROTATION,0.5387596899224806,0.4612403100775194,0.0004131627886467,258.0,NO 60D EDGE,0.46875,0.53125,-0.0029039923639156,256.0,MIXED,MIXED,QQQ UP AGREEMENT,MIXED
2026-07-03,2026-07-03T23:35:44,4.0,20D EARLY ROTATION,0.5387596899224806,0.4612403100775194,0.0004131695600026,258.0,NO 60D EDGE,0.46875,0.53125,-0.0029039862443154,256.0,VALUE AGREEMENT,MIXED,QQQ UP AGREEMENT,MIXED
2026-07-06,2026-07-06T23:38:33,4.0,20D EARLY ROTATION,0.5387596899224806,0.4612403100775194,0.0004131669231534,258.0,NO 60D EDGE,0.46875,0.53125,-0.0029039893061411,256.0,MIXED,MIXED,QQQ UP AGREEMENT,MIXED
2026-07-07,2026-07-07T23:30:26,2.0,20D AI / GROWTH DOMINANCE,0.4015873015873016,0.5984126984126984,-0.0093392100668117,630.0,NO 60D EDGE,0.5168918918918919,0.4831081081081081,-0.0005053809460201,592.0,MIXED,MIXED,QQQ UP AGREEMENT,QQQ UP AGREEMENT
2026-07-08,2026-07-08T23:36:30,4.0,20D EARLY ROTATION,0.5387596899224806,0.4612403100775194,0.0004131660684981,258.0,NO 60D EDGE,0.4651162790697674,0.5348837209302326,-0.004126468078855,258.0,MIXED,MIXED,QQQ UP AGREEMENT,MIXED
2026-07-09,2026-07-09T23:46:40,3.0,20D EARLY ROTATION,0.5408560311284046,0.4591439688715953,0.0005365671432331,257.0,NO 60D EDGE,0.4669260700389105,0.5330739299610895,-0.004108717640898,257.0,MIXED,AI AGREEMENT,QQQ UP AGREEMENT,QQQ UP AGREEMENT
2026-07-10,2026-07-10T23:29:10,1.0,20D AI / GROWTH DOMINANCE,0.3981042654028436,0.6018957345971564,-0.009429160501499,633.0,NO 60D EDGE,0.5126475548060708,0.4873524451939292,-0.0009550216256316,593.0,MIXED,MIXED,MIXED,QQQ UP AGREEMENT
2026-07-13,2026-07-13T23:26:35,3.0,20D EARLY ROTATION,0.5450980392156862,0.4549019607843138,0.0010366436782647,255.0,NO 60D EDGE,0.4705882352941176,0.5294117647058824,-0.0039095432314018,255.0,AI AGREEMENT,MIXED,QQQ UP AGREEMENT,QQQ UP AGREEMENT
2026-07-14,2026-07-14T23:25:42,2.0,20D AI / GROWTH DOMINANCE,0.3993710691823899,0.60062893081761,-0.0095898825129699,636.0,NO 60D EDGE,0.5083892617449665,0.4916107382550335,-0.0013742337591015,596.0,AI AGREEMENT,AI AGREEMENT,MIXED,QQQ UP AGREEMENT
2026-07-15,2026-07-15T23:29:05,3.0,20D EARLY ROTATION,0.549407114624506,0.450592885375494,0.0015569984473025,253.0,NO 60D EDGE,0.4743083003952569,0.5256916996047432,-0.0038329124974842,253.0,MIXED,MIXED,MIXED,QQQ UP AGREEMENT
2026-07-16,2026-07-16T23:25:50,4.0,20D EARLY ROTATION,0.5515873015873016,0.4484126984126984,0.0018694719499485,252.0,NO 60D EDGE,0.4722222222222222,0.5277777777777778,-0.0038504734243929,252.0,MIXED,MIXED,MIXED,MIXED
2026-07-17,2026-07-17T23:24:31,5.0,20D VALUE ROTATION MIXED,0.4878048780487805,0.5121951219512195,-0.0096849850824944,41.0,ROTATION EXTENDED / AI REASSERTION RISK,0.3625,0.6375,-0.0353035322070901,160.0,MIXED,MIXED,QQQ UP AGREEMENT,MIXED
2026-07-20,2026-07-20T23:31:19,6.0,20D VALUE ROTATION MIXED,0.5128205128205128,0.4871794871794872,-0.0060925345460412,39.0,ROTATION EXTENDED / AI REASSERTION RISK,0.3544303797468354,0.6455696202531646,-0.0362051495069608,158.0,VALUE AGREEMENT,MIXED,MIXED,QQQ DOWN AGREEMENT
2026-07-21,2026-07-21T23:29:32,5.0,20D VALUE ROTATION MIXED,0.5263157894736842,0.4736842105263158,-0.0050105621307932,38.0,ROTATION EXTENDED / AI REASSERTION RISK,0.3503184713375796,0.6496815286624205,-0.0368534608863704,157.0,VALUE AGREEMENT,MIXED,QQQ UP AGREEMENT,MIXED
2026-07-22,2026-07-22T23:30:12,4.0,20D EARLY ROTATION,0.5533596837944664,0.4466403162055335,0.0020727493869954,253.0,NO 60D EDGE,0.4722222222222222,0.5277777777777778,-0.0038504686325494,252.0,AI AGREEMENT,MIXED,QQQ UP AGREEMENT,QQQ UP AGREEMENT
2026-07-23,2026-07-23T23:28:43,6.0,20D VALUE ROTATION WATCH,0.5470085470085471,0.4529914529914529,-0.0038831656940967,117.0,ROTATION EXTENDED / AI REASSERTION RISK,0.3419354838709677,0.6580645161290323,-0.0381372723974049,155.0,MIXED,MIXED,QQQ DOWN AGREEMENT,MIXED
2026-07-24,2026-07-24T23:32:35,5.0,20D VALUE ROTATION WATCH,0.5470085470085471,0.4529914529914529,-0.0038831707409201,117.0,ROTATION EXTENDED / AI REASSERTION RISK,0.3419354838709677,0.6580645161290323,-0.038137283466596,155.0,MIXED,MIXED,QQQ UP AGREEMENT,MIXED
2026-07-27,2026-07-27T23:35:03,5.0,20D VALUE ROTATION WATCH,0.5565217391304348,0.4434782608695652,-0.0032582774523016,115.0,ROTATION EXTENDED / AI REASSERTION RISK,0.3333333333333333,0.6666666666666667,-0.0398060877026664,153.0,MIXED,MIXED,QQQ UP AGREEMENT,MIXED
2026-07-28,2026-07-28T23:30:40,7.0,20D ROTATION SIGNAL QUALITY WARNING,0.4727272727272727,0.5272727272727273,-0.009496497994041,55.0,ROTATION EXTENDED / AI REASSERTION RISK,0.3132530120481928,0.6867469879518072,-0.0459464339246401,166.0,MIXED,AI AGREEMENT,MIXED,MIXED
2026-07-29,2026-07-29T23:30:59,7.0,20D ROTATION SIGNAL QUALITY WARNING,0.4727272727272727,0.5272727272727273,-0.0094965104021982,55.0,ROTATION EXTENDED / AI REASSERTION RISK,0.3132530120481928,0.6867469879518072,-0.0459464343487374,166.0,MIXED,AI AGREEMENT,MIXED,MIXED
2026-07-30,2026-07-30T23:33:33,7.0,20D ROTATION SIGNAL QUALITY WARNING,0.4727272727272727,0.5272727272727273,-0.0094965235329353,55.0,ROTATION EXTENDED / AI REASSERTION RISK,0.3132530120481928,0.6867469879518072,-0.0459464409917701,166.0,VALUE AGREEMENT,AI AGREEMENT,QQQ DOWN AGREEMENT,QQQ DOWN AGREEMENT
2026-07-31,2026-07-31T23:30:42,5.0,20D VALUE ROTATION MIXED,0.5263157894736842,0.4736842105263158,-0.0050105591258867,38.0,ROTATION EXTENDED / AI REASSERTION RISK,0.32,0.6799999999999999,-0.0427439686458213,150.0,MIXED,AI AGREEMENT,QQQ DOWN AGREEMENT,MIXED
2026-08-03,2026-08-03T23:36:27,7.0,20D ROTATION SIGNAL QUALITY WARNING,0.4727272727272727,0.5272727272727273,-0.0094964976332762,55.0,ROTATION EXTENDED / AI REASSERTION RISK,0.3132530120481928,0.6867469879518072,-0.0459464297407423,166.0,MIXED,AI AGREEMENT,QQQ DOWN AGREEMENT,MIXED
2026-08-04,2026-08-04T23:33:07,5.0,20D VALUE ROTATION WATCH,0.5826086956521739,0.4173913043478261,0.0016319434426281,115.0,ROTATION EXTENDED / AI REASSERTION RISK,0.32,0.6799999999999999,-0.0427439594990232,150.0,VALUE AGREEMENT,AI AGREEMENT,QQQ DOWN AGREEMENT,QQQ DOWN AGREEMENT
2026-08-05,2026-08-05T23:30:16,6.0,20D VALUE ROTATION WATCH,0.5826086956521739,0.4173913043478261,0.0016319343804262,115.0,ROTATION EXTENDED / AI REASSERTION RISK,0.32,0.6799999999999999,-0.0427439759540497,150.0,VALUE AGREEMENT,AI AGREEMENT,QQQ DOWN AGREEMENT,QQQ DOWN AGREEMENT
2026-08-06,2026-08-07T01:36:55,6.0,20D VALUE ROTATION WATCH,0.5826086956521739,0.4173913043478261,0.0016319336691639,115.0,ROTATION EXTENDED / AI REASSERTION RISK,0.32,0.6799999999999999,-0.0427439732676563,150.0,MIXED,AI AGREEMENT,QQQ DOWN AGREEMENT,QQQ DOWN AGREEMENT
2026-08-07,2026-08-07T23:06:35,6.0,20D VALUE ROTATION WATCH,0.5826086956521739,0.4173913043478261,0.0016319310364227,115.0,ROTATION EXTENDED / AI REASSERTION RISK,0.32,0.6799999999999999,-0.0427439715792776,150.0,MIXED,AI AGREEMENT,QQQ DOWN AGREEMENT,QQQ DOWN AGREEMENT
2026-08-10,2026-08-10T23:06:49,5.0,20D VALUE ROTATION WATCH,0.5826086956521739,0.4173913043478261,0.0016319425044740083,115.0,ROTATION EXTENDED / AI REASSERTION RISK,0.32,0.6799999999999999,-0.042743975103234515,150.0,AI AGREEMENT,AI AGREEMENT,QQQ DOWN AGREEMENT,MIXED
